,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
3046,27.07694126,71879629.36,71.87962936,0.74236806,0.599942376,1.346430849,0.25763194,221220.3016,0.798536853,0.371176688,5473210.855,129436.4772,19328676.55,0.980658799,0.396446452,0.546749205,0.43091816,0.416881624,0.722194882,best_case_rcp45_2016-2045 (usual)
3047,17.52063288,71500322.57,71.50032257,0.66588305,0.551710385,1.700967422,0.33411695,340076.7687,1.588385075,0.426531142,21426067.3,129436.4772,42553952.45,0.967939891,0.358272444,0.493133076,0.086728624,0.379182707,0.703974318,best_case_rcp45_2016-2045 (usual)
3048,28.8496417,55701601.77,55.70160177,0.819540897,0.570261504,1.218772019,0.180459103,160896.2841,1.121186959,0.519191874,7382421.565,129436.4772,17009549.51,1,0.488904675,0.666666667,0.538193611,0.460844125,0.749321604,best_case_rcp45_2016-2045 (usual)
3049,21.89245018,58630541.93,58.63054193,0.754788223,0.571737454,1.2299737,0.245211777,223176.4126,0.960237599,0.546890858,7447816.157,129436.4772,20938569.23,1,0.463272106,0.641465395,0.497452738,0.423937303,0.759040826,best_case_rcp45_2016-2045 (usual)
3050,18.29077427,71682502.79,71.68250279,0.653470841,0.56835945,1.661056055,0.346529159,326587.7,1.420424569,0.393894955,17763887.9,129436.4772,41576177.94,1,0.3973767,0.550470198,0.181340855,0.403684246,0.733180336,best_case_rcp45_2016-2045 (usual)
3051,23.39369474,59848251.41,59.84825141,0.736906682,0.584975216,1.264881525,0.263093318,213192.2443,0.803429378,0.529520223,7610094.656,129436.4772,17872731.41,1,0.396480279,0.546816859,0.179558908,0.407015043,0.759940478,best_case_rcp45_2016-2045 (usual)
3052,40.29699901,52424273.3,52.4242733,0.859109827,0.582392971,0.870416786,0.140890173,108412.2776,0.38200005,0.691531809,1270971.511,129436.4772,5217377.266,1,0.417453149,0.581929504,0.471678965,0.436918058,0.759152686,best_case_rcp45_2016-2045 (usual)
3053,23.56524119,66989969.27,66.98996927,0.750282759,0.570267519,1.116514971,0.249717241,236895.4085,0.976907528,0.516841808,9057176.864,129436.4772,20352621.56,1,0.412218388,0.565557134,0.157856559,0.413196006,0.750679755,best_case_rcp45_2016-2045 (usual)
3054,39.39462693,57826005.8,57.8260058,0.917983684,0.575726859,0.312715723,0.082016316,122322.1082,0.805163602,0.53854874,2397695.97,129436.4772,5563429.229,1,0.5,0.666666667,0.606315837,0.472727125,0.783268947,best_case_rcp45_2016-2045 (usual)
3055,22.49203123,67061077.31,67.06107731,0.760587714,0.568597494,1.143945402,0.239412286,248462.3578,0.986324499,0.517084429,8954166.005,129436.4772,19513792.08,0.984094133,0.370763142,0.508795075,0.041884415,0.392899932,0.720416759,best_case_rcp45_2016-2045 (usual)
3056,39.21123141,52446368.21,52.44636821,0.863574467,0.581929457,0.727951782,0.136425533,111461.1943,0.401525857,0.688718617,1587951.306,129436.4772,5015929.708,1,0.412353697,0.566233678,0.383725197,0.430134997,0.763581925,best_case_rcp45_2016-2045 (usual)
3057,26.52542782,68408642.11,68.40864211,0.727582701,0.580089959,1.584060527,0.272417299,214915.2962,0.756107403,0.549543406,5758605.229,129436.4772,19073196.77,0.988283231,0.429258846,0.595832488,0.44215583,0.419694151,0.723954785,best_case_rcp45_2016-2045 (usual)
3058,388.5699248,48086876.45,48.08687645,0.976072764,0.600139285,0.327084369,0.023927236,10312.78915,0.094862518,0.691779757,189687.4386,129436.4772,83951.08712,1,0.5,0.666666667,0.598028593,0.512955736,0.84960228,best_case_rcp45_2016-2045 (usual)
3059,28.34318104,67637721.6,67.6377216,0.76539099,0.595747416,1.140316176,0.23460901,198865.3564,0.90141041,0.392430717,6735499.258,129436.4772,18759635.98,0.990706937,0.403702388,0.556051688,0.446130007,0.421142173,0.733639806,best_case_rcp45_2016-2045 (usual)
3060,22.96316312,59690193.88,59.69019388,0.745430628,0.579628119,1.335061698,0.254569372,216615.7509,0.849686878,0.535469209,7144832.173,129436.4772,18932017.7,1,0.443939855,0.617549557,0.473986906,0.426422586,0.75922883,best_case_rcp45_2016-2045 (usual)
3061,208.8311427,48555046.86,48.55504686,0.955368416,0.590437064,0.547978476,0.044631584,19375.72075,0.294660168,0.684332259,679342.9497,129436.4772,906111.5986,1,0.490782085,0.666666667,0.445871204,0.515464598,0.842830453,best_case_rcp45_2016-2045 (usual)
3062,40.79467476,52586579.08,52.58657908,0.858245384,0.5825777,0.910258085,0.141754616,107421.2492,0.374414776,0.689222626,1171052.762,129436.4772,5227477.85,1,0.34849638,0.483289358,-0.041904019,0.407067062,0.756717879,best_case_rcp45_2016-2045 (usual)
3063,19.15102145,72996801.35,72.99680135,0.644323406,0.57776476,1.72190645,0.355676594,317636.6751,1.320550503,0.366720229,17429072.66,129436.4772,39194903.98,1,0.396801637,0.549523036,0.159309917,0.398902504,0.736610856,best_case_rcp45_2016-2045 (usual)
3064,20.8719321,69115702.36,69.11570236,0.711237786,0.555190733,1.566982293,0.288762214,275951.5428,1.739459279,0.375804204,20115409.5,129436.4772,40438849.45,1,0.450375482,0.62478858,0.447973199,0.432652126,0.732267472,best_case_rcp45_2016-2045 (usual)
3065,22.0937395,66680890.88,66.68089088,0.751424664,0.563304036,1.045738978,0.248575336,251507.4873,1.071612063,0.517388455,10136366.79,129436.4772,21976989.13,1,0.375050741,0.514038292,0.040624517,0.391869225,0.745802158,best_case_rcp45_2016-2045 (usual)
